================================================================
=== 1. ARRIBA HIGH/MEDIUM CONFIDENCE FUSIONS (376 lines) ===
================================================================
SAMPLE|GENE1|GENE2|BREAKPOINT1|BREAKPOINT2|CONFIDENCE|SPLIT_READS1|SPLIT_READS2|DISCORDANT|READING_FRAME|TYPE
294-MO-17-563456458|TCL1A|TCL1A|chr14:95711898|chr14:95712396|medium|2|0|180|.|inversion/3'-3'
294-MO-17-563456458|LINC02227|ENSG00000253449(15340),ENSG00000253424(6421)|chr5:158359646|chr5:158249716|medium|2|0|36|.|duplication
294-MO-17-563456458|LUC7L3|LUC7L3|chr17:50750694|chr17:50749219|medium|1|0|45|stop-codon|duplication
294-MO-17-563456458|PRRT3-AS1|CRELD1|chr3:9948469|chr3:9934420|medium|1|2|8|.|duplication
302-MO-17-563681176|BALR6(22459),SATB1(281315)|BALR6|chr3:18064062|chr3:18027397|high|102|156|1557|.|duplication
302-MO-17-563681176|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|55|7|144|.|deletion/read-through
302-MO-17-563681176|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|21|1|91|.|deletion/read-through
302-MO-17-563681176|AFF1|KMT2A|chr4:87047594|chr11:118488614|high|5|10|113|in-frame|translocation
302-MO-17-563681176|AFF1|KMT2A|chr4:87094969|chr11:118468775|high|1|14|70|out-of-frame|translocation
302-MO-17-563681176|KMT2A|AFF1|chr11:118484314|chr4:87084120|high|1|1|17|in-frame|translocation
302-MO-17-563681176|USP9YP34|USP9YP7|chrY:17985857|chrY:17910598|high|7|7|52|.|inversion/3'-3'
302-MO-17-563681176|ENSG00000224412(6932),REEP3(24831)|JMJD1C|chr10:63496570|chr10:63380482|high|3|4|55|.|deletion/read-through
302-MO-17-563681176|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|4|1|99|out-of-frame|deletion/read-through
302-MO-17-563681176|ENSG00000275578(10562),CDY5P(2851)|PRYP2|chrY:17718747|chrY:18176213|high|5|5|83|.|inversion
302-MO-17-563681176|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|8|8|23|.|duplication
302-MO-17-563681176|IRGM|IRGM(29278),ZNF300(16412)|chr5:150848654|chr5:150877980|medium|5|4|28|out-of-frame|deletion/read-through
302-MO-17-563681176|ENSG00000286116|ACTA2|chr10:88990939|chr10:88948953|medium|2|2|21|.|deletion/read-through
302-MO-17-563681176|LINC01226|LINC01226|chr1:31536409|chr1:31528430|medium|3|3|18|.|duplication
302-MO-17-563681176|ENSG00000255028|ENSG00000255028(19863),ENSG00000254482(33698)|chr11:109512579|chr11:109603770|medium|1|1|8|.|duplication
302-MO-17-563681176|ELOCP36(2235),PRYP1(213)|PRYP2|chrY:17729315|chrY:18167247|medium|1|2|159|.|inversion
302-MO-17-563681176|KCNMB2-AS1|ZMAT3|chr3:178801793|chr3:179004184|medium|1|1|7|.|duplication
308-MO-18-563529465|P2RY8|CRLF2|chrX:1536921|chrX:1212636|high|58|39|497|.|deletion/read-through
308-MO-18-563529465|STIP1|DNAJC4|chr11:64186270|chr11:64231871|high|24|2|79|out-of-frame|deletion/read-through
308-MO-18-563529465|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|10|12|63|.|deletion/read-through
308-MO-18-563529465|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|6|3|165|out-of-frame|deletion/read-through
308-MO-18-563529465|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|0|1|6|.|translocation
308-MO-18-563529465|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|medium|5|4|24|.|deletion/read-through
308-MO-18-563529465|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|4|2|10|.|duplication
308-MO-18-563529465|PTMAP8(428294),RNU6-1200P(88872)|LSAMP|chr3:117455333|chr3:116444955|medium|3|2|29|.|deletion
308-MO-18-563529465|STIP1|GPR137|chr11:64186270|chr11:64286510|medium|3|1|79|in-frame|deletion/read-through
308-MO-18-563529465|PIM3|BRD1|chr22:49961811|chr22:49824331|medium|2|1|320|in-frame|inversion
370-MO-17-563698156|ENSG00000287810(497),ZDHHC18(8715)|CD82|chr1:26817973|chr11:44605059|high|6|1|19|.|translocation
370-MO-17-563698156|CD82|SMPDL3A(40468),ATP5MGP2(9490)|chr11:44600230|chr6:122850188|high|6|0|428|out-of-frame|translocation
370-MO-17-563698156|SMPDL3A(39900),ATP5MGP2(10058)|CD82|chr6:122849620|chr11:44605058|high|2|4|129|.|translocation
370-MO-17-563698156|ENSG00000280366(1187),LINC01507(39328)|ENSG00000280366|chr9:79991251|chr9:79989957|high|4|0|14|.|duplication
370-MO-17-563698156|LINC02564(435)|ENSG00000282965|chr18:10690|chr18:50549|high|2|4|27|.|duplication
370-MO-17-563698156|LINC01684|DOP1B|chr21:24428904|chr21:36214442|high|3|1|8|.|deletion
370-MO-17-563698156|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|11|6|26|.|duplication
370-MO-17-563698156|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|medium|8|10|38|.|deletion/read-through
370-MO-17-563698156|CD82|ENSG00000275725(6055),LINC02704(31888)|chr11:44600230|chr11:44662975|medium|1|10|428|out-of-frame|deletion/read-through
370-MO-17-563698156|BALR6(22459),SATB1(281315)|BALR6|chr3:18064062|chr3:18013655|medium|1|6|25|.|duplication
387-MO-17-563638234|BCR|ABL1|chr22:23182239|chr9:130854064|high|36|27|383|in-frame|translocation
387-MO-17-563638234|ABL1|BCR|chr9:130714455|chr22:23253799|high|2|3|31|in-frame|translocation
387-MO-17-563638234|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|13|12|56|.|deletion/read-through
387-MO-17-563638234|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|9|1|20|.|deletion/read-through
387-MO-17-563638234|LHX6|MRRF|chr9:122220164|chr9:122270864|high|6|5|118|.|deletion/read-through/3'-3'
387-MO-17-563638234|LINC02925(29094),GRAMD4(43096)|GRAMD4|chr22:46577290|chr22:46626751|high|8|1|13|.|deletion/read-through
387-MO-17-563638234|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|3|1|146|out-of-frame|deletion/read-through
387-MO-17-563638234|IRGM|IRGM(29278),ZNF300(16412)|chr5:150848654|chr5:150877980|medium|6|1|21|out-of-frame|deletion/read-through
387-MO-17-563638234|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158323197|chr5:158317365|medium|9|4|56|.|duplication
387-MO-17-563638234|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|medium|3|0|414|out-of-frame|deletion/read-through
387-MO-17-563638234|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100182839|chr7:100338179|medium|1|1|8|out-of-frame|deletion/read-through
387-MO-17-563638234|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|medium|3|0|414|out-of-frame|deletion/read-through
387-MO-17-563638234|STAG3|STAG3L5P|chr7:100182839|chr7:100338179|medium|1|1|8|out-of-frame|deletion/read-through
45-MO-18-563634299|TCF3|PBX1|chr19:1619111|chr1:164792494|high|81|36|550|in-frame|translocation
45-MO-18-563634299|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|16|6|66|.|deletion/read-through
45-MO-18-563634299|KCNMB2-AS1|ZMAT3|chr3:178801793|chr3:179004184|high|1|9|17|.|duplication
45-MO-18-563634299|KCNMB2-AS1|ZMAT3|chr3:178859489|chr3:179004184|high|1|8|32|.|duplication
45-MO-18-563634299|FAM217B|PHACTR3(3857),RNU7-141P(1099)|chr20:59942512|chr20:59851568|high|2|0|24|.|duplication
45-MO-18-563634299|ENSG00000287700|DMD|chrX:33723958|chrX:33020200|high|1|1|29|.|deletion
45-MO-18-563634299|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|25|18|81|.|duplication
45-MO-18-563634299|TMEM131L|ENSG00000282885|chr4:153571657|chr14:49862802|medium|15|17|99|.|translocation
45-MO-18-563634299|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|medium|6|13|66|.|deletion/read-through
45-MO-18-563634299|HECW1|HECW1|chr7:43365226|chr7:43360886|medium|3|6|52|stop-codon|duplication
45-MO-18-563634299|SHISAL2A|SHISAL2A(10334),COA7(17050)|chr1:52643002|chr1:52667399|medium|4|5|37|out-of-frame|deletion/read-through
45-MO-18-563634299|RNU6-37P|RNU4-2|chr1:10299070|chr12:120291899|medium|4|8|752|.|translocation
45-MO-18-563634299|LINC02227|ENSG00000253449(15340),ENSG00000253424(6421)|chr5:158323197|chr5:158249716|medium|4|3|194|.|duplication
45-MO-18-563634299|RNU6-33P|RNU12|chr4:88684845|chr22:42615261|medium|5|1|2453|.|translocation
45-MO-18-563634299|RNU6-33P|ENSG00000270022|chr4:88684845|chr22:42615261|medium|5|1|2453|.|translocation
45-MO-18-563634299|ANAPC1|RMND5A|chr2:111818840|chr2:86740927|medium|1|1|133|in-frame|inversion
45-MO-18-563634299|ANAPC1|RMND5A|chr2:111821239|chr2:86740927|medium|1|1|70|out-of-frame|inversion
456-MO-19-563638239|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|11|4|239|out-of-frame|deletion/read-through
456-MO-19-563638239|TULP4|SRP72P2(35956),ENSG00000274023(4088)|chr6:158429897|chr6:158278753|high|1|2|20|out-of-frame|duplication
456-MO-19-563638239|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|26|24|210|.|duplication
456-MO-19-563638239|AOX2P|AOX3P-AOX2P|chr2:200749243|chr2:200747948|medium|7|2|169|.|duplication
456-MO-19-563638239|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|medium|3|4|410|out-of-frame|deletion/read-through
456-MO-19-563638239|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|medium|3|3|410|out-of-frame|deletion/read-through
456-MO-19-563638239|IRGM|IRGM(29278),ZNF300(16412)|chr5:150848654|chr5:150877980|medium|4|3|25|out-of-frame|deletion/read-through
456-MO-19-563638239|SLFN14|MAPK8IP3|chr17:35551620|chr16:1706189|medium|4|5|21|.|translocation/3'-3'
456-MO-19-563638239|RRN3P3|CDR2|chr16:22429796|chr16:22365014|medium|4|3|93|.|deletion/read-through
456-MO-19-563638239|SHISAL2A|SHISAL2A(10334),COA7(17050)|chr1:52643002|chr1:52667399|medium|4|2|44|out-of-frame|deletion/read-through
456-MO-19-563638239|IGHV3-64D|HAT1|chr14:106088122|chr2:171959983|medium|0|0|7053|out-of-frame|translocation
456-MO-19-563638239|BEND3|BEND3|chr6:107087612|chr6:107099296|medium|1|1|3|.|duplication
456-MO-19-563638239|GREM2|MSR1|chr1:240507462|chr8:16177987|medium|2|0|0|.|translocation/3'-3'
456-MO-19-563638239|PRRT3-AS1|CRELD1|chr3:9948469|chr3:9934420|medium|1|0|25|.|duplication
490-MO-19-563632278|LINC02726|ENSG00000240881(209109),LINC02726(277)|chr11:23731658|chr11:23730311|high|15|6|250|.|duplication
490-MO-19-563632278|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|15|5|34|.|deletion/read-through
490-MO-19-563632278|NUP214|ABL1|chr9:131230769|chr9:130854801|high|0|1|46|in-frame|duplication
490-MO-19-563632278|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|0|1|7|.|translocation
490-MO-19-563632278|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|9|22|33|.|duplication
490-MO-19-563632278|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|medium|7|9|30|.|deletion/read-through
490-MO-19-563632278|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|medium|3|4|55|out-of-frame|deletion/read-through
490-MO-19-563632278|STAG3|STAG3L5P-PVRIG2P-PILRB|chr7:100213806|chr7:100345865|medium|1|1|96|out-of-frame|deletion/read-through
490-MO-19-563632278|ADGRF1|ADGRF1|chr6:47016617|chr6:47018019|medium|0|2|76|out-of-frame|duplication
490-MO-19-563632278|STAG3|STAG3L5P|chr7:100213806|chr7:100345865|medium|1|0|96|out-of-frame|deletion/read-through
490-MO-19-563632278|USP49|MED20|chr6:41871564|chr6:41909522|medium|1|1|15|.|duplication
513-MO-15-563678178|TCF3|PBX1|chr19:1619111|chr1:164792494|high|99|47|677|in-frame|translocation
513-MO-15-563678178|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|14|21|122|.|deletion/read-through
513-MO-15-563678178|LINC02925(29094),GRAMD4(43096)|GRAMD4|chr22:46577290|chr22:46626751|high|14|0|49|.|deletion/read-through
513-MO-15-563678178|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|5|3|32|.|deletion/read-through
513-MO-15-563678178|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|12|4|36|.|deletion/read-through
513-MO-15-563678178|NEK4P2|CCDC144A|chr17:16666136|chr17:16692979|high|9|3|21|.|deletion/read-through/3'-3'
513-MO-15-563678178|NEK4P2|ENSG00000266302|chr17:16666136|chr17:16692979|high|9|3|21|.|deletion/read-through/3'-3'
513-MO-15-563678178|LINC01237|ING5|chr2:241882635|chr2:241704653|high|2|2|239|.|duplication
513-MO-15-563678178|PRKCZ|SSU72|chr1:2175313|chr1:1564916|high|1|2|237|out-of-frame|inversion
513-MO-15-563678178|PRKCZ|SSU72|chr1:2150978|chr1:1564916|medium|1|2|371|out-of-frame|inversion
513-MO-15-563678178|SNORD3A|ENSG00000280441|chr17:19188191|chr21:8399972|medium|3|3|65535|.|translocation
513-MO-15-563678178|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|medium|5|0|263|out-of-frame|deletion/read-through
513-MO-15-563678178|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|3|3|33|.|duplication
513-MO-15-563678178|TTYH3|ENSG00000286192|chr7:2632278|chr7:1980541|medium|1|1|169|out-of-frame|inversion
513-MO-15-563678178|TTYH3|ENSG00000286192|chr7:2632278|chr7:2014642|medium|1|1|169|out-of-frame|inversion
513-MO-15-563678178|TTYH3|MAD1L1|chr7:2632278|chr7:1980541|medium|1|1|169|in-frame|inversion
513-MO-15-563678178|TTYH3|MAD1L1|chr7:2632278|chr7:2014642|medium|1|1|169|in-frame|inversion
513-MO-15-563678178|GRAMD4|CERK|chr22:46674750|chr22:46721015|medium|1|0|324|out-of-frame|inversion
545-MO-17-563273686|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|6|3|81|out-of-frame|deletion/read-through
545-MO-17-563273686|LINC02200(65443),APC(30003)|APC|chr5:112707882|chr5:112754873|high|7|4|33|.|deletion/read-through
545-MO-17-563273686|AKR1C6P(37742),U8(32719)|AKR1E2|chr10:4929717|chr10:4830675|high|0|5|5|.|duplication
545-MO-17-563273686|MTAP|DMRTA1(10602),LINC01239(179858)|chr9:21838010|chr9:22466342|high|1|2|69|out-of-frame|deletion
545-MO-17-563273686|MTAP|ENSG00000236921(225944),DMRTA1(6208)|chr9:21838010|chr9:22440616|high|2|1|69|out-of-frame|deletion
545-MO-17-563273686|MTAP|DMRTA1|chr9:21838010|chr9:22451064|high|0|1|69|out-of-frame|deletion
545-MO-17-563273686|LEF1-AS1(5424),RPSAP34(144382)|LEF1-AS1|chr4:108263461|chr4:108175792|high|1|2|9|.|duplication
545-MO-17-563273686|MTAP|DMRTA1(116222),LINC01239(74238)|chr9:21838010|chr9:22571962|high|1|0|69|out-of-frame|deletion
545-MO-17-563273686|MTAP|DMRTA1(184942),LINC01239(5518)|chr9:21838010|chr9:22640682|high|1|0|69|out-of-frame|deletion
545-MO-17-563273686|RNU6-7|RNU4-2|chr14:32202150|chr12:120291898|medium|4|10|2176|.|translocation
545-MO-17-563273686|SNORD3A|ENSG00000280441|chr17:19188191|chr21:8399972|medium|3|7|65535|.|translocation
545-MO-17-563273686|RNU6-7|TMEM107|chr14:32202150|chr17:8173574|medium|2|1|2176|.|translocation
545-MO-17-563273686|RNU6-7|SNORD118|chr14:32202150|chr17:8173574|medium|2|1|2176|.|translocation
545-MO-17-563273686|ST8SIA6|ST8SIA6|chr10:17379357|chr10:17390620|medium|2|0|18|stop-codon|duplication
545-MO-17-563273686|ENSG00000275964(90511),ENSG00000289235(592)|ENSG00000275964|chr13:19956840|chr13:19865471|medium|1|2|1|.|duplication
545-MO-17-563273686|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|medium|2|0|19|.|translocation
551-MO-15-563637252|IKZF1|ENSG00000285165|chr7:50327757|chr7:50394345|high|101|49|840|out-of-frame|inversion
551-MO-15-563637252|IKZF1|ENSG00000285165|chr7:50327757|chr7:50388579|high|32|10|840|out-of-frame|inversion
551-MO-15-563637252|ABR(41471),ENSG00000262213(13146)|ABR|chr17:1228793|chr17:1125367|high|20|8|50|.|deletion/read-through
551-MO-15-563637252|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|16|3|65|.|deletion/read-through
551-MO-15-563637252|LINC02355|ENSG00000249752(53926),LINC02430(31345)|chr4:149155725|chr4:149116448|high|0|1|28|.|duplication
551-MO-15-563637252|ENSG00000234622(442713),DHRSX(8017)|DHRSX|chrY:2211489|chrX:2221229|high|1|2|13|.|translocation
551-MO-15-563637252|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|13|12|55|.|duplication
551-MO-15-563637252|GLIPR1|GLIPR1|chr12:75498968|chr12:75498950|medium|7|0|81|out-of-frame|duplication/ITD
600-MO-19-563707184|ENSG00000287752(935),ENSG00000227282(44403)|PHACTR3|chr20:59470788|chr20:59743107|high|39|31|332|.|deletion/read-through
600-MO-19-563707184|ENSG00000287700|DMD|chrX:33723958|chrX:33249644|high|0|5|83|.|deletion
600-MO-19-563707184|ENSG00000287700|DMD|chrX:33723958|chrX:33020200|medium|0|3|83|.|deletion
600-MO-19-563707184|ENSG00000263618|LINC02717|chr18:14905883|chr11:134997088|high|3|0|102|.|translocation
600-MO-19-563707184|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|9|10|17|.|duplication
600-MO-19-563707184|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|medium|9|1|22|.|deletion/read-through
600-MO-19-563707184|PPP2R3B|PPP2R3B|chrY:338604|chrY:362332|medium|8|2|227|out-of-frame|duplication
600-MO-19-563707184|ENSG00000286888|TAPT1-AS1|chr4:16323036|chr4:16288884|medium|0|2|103|.|duplication
600-MO-19-563707184|ENSG00000286888|TAPT1-AS1|chr4:16323036|chr4:16320065|medium|1|1|103|.|duplication
600-MO-19-563707184|FGF7P2(4654),ANKRD30BP1(28947)|LINC02717|chr21:13355302|chr11:134997088|medium|0|1|23|.|translocation
78-MO-17-563507547|ENSG00000289315(38979),MBNL1-AS1(18176)|MBNL1|chr3:152244440|chr3:152299405|high|22|14|84|.|deletion/read-through
78-MO-17-563507547|SHISAL2A|SHISAL2A(10334),COA7(17050)|chr1:52643002|chr1:52667399|high|10|8|55|out-of-frame|deletion/read-through
78-MO-17-563507547|ELF1(41522),WBP4(671)|ELF1|chr13:41060838|chr13:40982282|high|10|1|48|.|deletion/read-through
78-MO-17-563507547|ENSG00000229425|ENSG00000229425|chr21:15507916|chr21:15511381|high|4|4|19|.|duplication
78-MO-17-563507547|PSPC1|PSPC1-AS2(1939),PSPC1(24677)|chr13:19730239|chr13:19677823|high|4|0|114|out-of-frame|deletion/read-through
78-MO-17-563507547|GAS7|GAS7(6711),RPS27AP1(53445)|chr17:9940126|chr17:10205317|high|3|5|272|out-of-frame|duplication
78-MO-17-563507547|ENSG00000287172(36694),RN7SKP203(8909)|ENSG00000287172|chr2:76436170|chr2:76341553|high|3|2|25|.|duplication
78-MO-17-563507547|LINC02355|ENSG00000249752(53926),LINC02430(31345)|chr4:149155725|chr4:149116448|high|4|0|7|.|duplication
78-MO-17-563507547|TTC33|PRKAA1|chr5:40728345|chr5:40777586|high|1|2|24|out-of-frame|duplication
78-MO-17-563507547|TTC33|PRKAA1|chr5:40746798|chr5:40777586|medium|1|2|28|out-of-frame|duplication
78-MO-17-563507547|SH2B3|SH2B3|chr12:111418564|chr12:111418548|medium|5|0|204|out-of-frame|duplication/ITD
78-MO-17-563507547|LINC02227|ENSG00000253134(38552),LINC02227(3318)|chr5:158359646|chr5:158317365|medium|8|18|57|.|duplication
78-MO-17-563507547|RNU6-3P|RNU4-2|chrX:141118030|chr12:120291897|medium|4|7|1967|.|translocation
78-MO-17-563507547|LINC01226|LINC01226|chr1:31536409|chr1:31528430|medium|2|2|13|.|duplication
78-MO-17-563507547|SEC61A2|DHTKD1|chr10:12162289|chr10:12081472|medium|1|2|15|out-of-frame|duplication
78-MO-17-563507547|NECAB3|E2F1|chr20:33672398|chr20:33680416|medium|1|0|10|out-of-frame|duplication
78-MO-17-563507547|TMOD4|VPS72|chr1:151173499|chr1:151178145|medium|1|0|3|in-frame|duplication
78-MO-17-563507547|PRRT3-AS1|CRELD1|chr3:9948469|chr3:9934420|medium|1|1|7|.|duplication

================================================================
=== 2. STAR-FUSION FUSIONS (128 lines) ===
================================================================
SAMPLE|FUSION|JUNCTION_READS|SPANNING_FRAGS|SPLICE_TYPE|ANNOTATIONS
103-MO-15-563486477|TCF3--PBX1|130|33|ONLY_REF_SPLICE|["Mitelman","ChimerKB","DepMap2023","ChimerSeq","CCLE_StarF2019","chimerdb_pubmed","ChimerPub","Cosmic","INTERCHROMOSOMAL[chr19--chr1]"]
103-MO-15-563486477|ENSG00000236760--LINC01250|74|34|ONLY_REF_SPLICE|[]
103-MO-15-563486477|SNORD3A--SNORD3P1|22|0|INCL_NON_REF_SPLICE|[]
103-MO-15-563486477|ENSG00000250829--ENSG00000250971|11|3|ONLY_REF_SPLICE|[]
103-MO-15-563486477|CXCR4--PTMA|10|0|ONLY_REF_SPLICE|["INTRACHROMOSOMAL[chr2:95.59Mb]"]
103-MO-15-563486477|ENSG00000287700--DMD|7|0|ONLY_REF_SPLICE|[]
103-MO-15-563486477|RAF1--TMEM40|4|2|ONLY_REF_SPLICE|["DEEPEST2019","TumorFusionsNAR2018","ChimerSeq","INTRACHROMOSOMAL[chr3:0.07Mb]","LOCAL_REARRANGEMENT:-:[69299]"]
103-MO-15-563486477|LINC01250--ENSG00000236760|4|2|ONLY_REF_SPLICE|[]
137-MO-21-563591362|AFF1--KMT2A|30|8|ONLY_REF_SPLICE|["ChimerKB","DepMap2023","CCLE_StarF2019","INTERCHROMOSOMAL[chr4--chr11]"]
137-MO-21-563591362|ENSG00000286888--ENSG00000248138|19|4|ONLY_REF_SPLICE|[]
137-MO-21-563591362|ENSG00000254951--OVCH2|19|2|ONLY_REF_SPLICE|[]
137-MO-21-563591362|MPHOSPH10P2--WHAMMP1|15|4|INCL_NON_REF_SPLICE|[]
137-MO-21-563591362|ENSG00000289465--ENSG00000255028|8|6|INCL_NON_REF_SPLICE|[]
137-MO-21-563591362|LINC02715--ENSG00000255028|7|6|ONLY_REF_SPLICE|[]
137-MO-21-563591362|LINC02715--ENSG00000255028|6|6|ONLY_REF_SPLICE|[]
137-MO-21-563591362|KCNMB2-AS1--ZMAT3|5|5|ONLY_REF_SPLICE|["INTRACHROMOSOMAL[chr3:0.16Mb]"]
137-MO-21-563591362|TRDV2--TRAC|6|5|INCL_NON_REF_SPLICE|["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr14:0.00Mb]","NEIGHBORS_OVERLAP:+:+:[671]"]
137-MO-21-563591362|LINC02715--ENSG00000255028|2|6|ONLY_REF_SPLICE|[]
137-MO-21-563591362|KCNMB2-AS1--ZMAT3|2|5|ONLY_REF_SPLICE|["INTRACHROMOSOMAL[chr3:0.16Mb]"]
137-MO-21-563591362|ANAPC1--RMND5A|4|3|ONLY_REF_SPLICE|["INTRACHROMOSOMAL[chr2:24.99Mb]"]
137-MO-21-563591362|ANAPC1--RMND5A|3|3|ONLY_REF_SPLICE|["INTRACHROMOSOMAL[chr2:24.99Mb]"]
137-MO-21-563591362|KCNMB2-AS1--ZMAT3|1|5|ONLY_REF_SPLICE|["INTRACHROMOSOMAL[chr3:0.16Mb]"]
137-MO-21-563591362|ENSG00000277977--ZNF880|4|2|INCL_NON_REF_SPLICE|[]
152-MO-20-563637230|TRDV2--TRAC|24|3|INCL_NON_REF_SPLICE|["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr14:0.00Mb]","NEIGHBORS_OVERLAP:+:+:[671]"]
152-MO-20-563637230|ENSG00000291003--ENSG00000283273|14|7|ONLY_REF_SPLICE|[]
152-MO-20-563637230|ENSG00000291003--ENSG00000283273|5|7|ONLY_REF_SPLICE|[]
152-MO-20-563637230|FBXO25--SEPTIN14|7|1|ONLY_REF_SPLICE|[]
152-MO-20-563637230|ENSG00000251555--RPL7AP28|6|1|INCL_NON_REF_SPLICE|[]
190-MO-15-563633241|BCR--ABL1|46|25|ONLY_REF_SPLICE|["Mitelman","ChimerKB","DepMap2023","ChimerSeq","TCGA_StarF2019","CCLE_StarF2019","Klijn_CellLines","chimerdb_pubmed","chimerdb_omim","DEEPEST2019","GUO2018CR_TCGA","ChimerPub","TumorFusionsNAR2018","Cosmic","INTERCHROMOSOMAL[chr22--chr9]"]
190-MO-15-563633241|MPHOSPH10P2--WHAMMP1|13|5|INCL_NON_REF_SPLICE|[]
190-MO-15-563633241|ABL1--BCR|10|5|ONLY_REF_SPLICE|["ChimerKB","DepMap2023","ChimerSeq","TCGA_StarF2019","CCLE_StarF2019","YOSHIHARA_TCGA","Klijn_CellLines","chimerdb_pubmed","chimerdb_omim","DEEPEST2019","ChimerPub","TumorFusionsNAR2018","INTERCHROMOSOMAL[chr9--chr22]"]
190-MO-15-563633241|ENSG00000286888--TAPT1-AS1|9|1|ONLY_REF_SPLICE|[]
218-MO-19-563507503|TRDV2--TRAC|87|32|INCL_NON_REF_SPLICE|["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr14:0.00Mb]","NEIGHBORS_OVERLAP:+:+:[671]"]
218-MO-19-563507503|ZC3HAV1--ABL2|23|13|ONLY_REF_SPLICE|["INTERCHROMOSOMAL[chr7--chr1]"]
218-MO-19-563507503|ZC3HAV1--ABL2|7|13|ONLY_REF_SPLICE|["INTERCHROMOSOMAL[chr7--chr1]"]
218-MO-19-563507503|ENSG00000236760--LINC01250|11|4|ONLY_REF_SPLICE|[]
218-MO-19-563507503|ENSG00000237356--DDHD1-DT|6|1|ONLY_REF_SPLICE|[]
220-MO-18-563634284|MPHOSPH10P2--WHAMMP1|8|4|INCL_NON_REF_SPLICE|[]
220-MO-18-563634284|ENSG00000237356--DDHD1-DT|9|0|ONLY_REF_SPLICE|[]
220-MO-18-563634284|TRDV2--TRAC|6|2|INCL_NON_REF_SPLICE|["DepMap2023","CCLE_StarF2019","INTRACHROMOSOMAL[chr14:0.00Mb]","NEIGHBORS_OVERLAP:+:+:[671]"]
